Ayatollah Khamenei’s Fateful Choice	Advertisement Supported by Editorial By  In the 13 years since Iran’s nuclear program was discovered, the Iranians have worked to keep the program alive and the major powers at bay. Now they are jeopardizing the nuclear agreement that would benefit them and the security of the region. The agreement, under negotiation with the United States, Britain, France, Russia, China and Germany, is supposed to be completed on June 30, though a delay is now considered likely. The by Iran’s supreme leader, Ayatollah Ali Khamenei, who has the final word on whether Iran finally accepts a deal to curb the nuclear program in exchange for a lifting of international sanctions, appeared to stiffen his hard line against concessions. He said on Tuesday that he would not abide any long-term freeze on Iran’s sensitive nuclear work and again ruled out foreign inspections of Iranian military sites. He also insisted that all economic sanctions be lifted immediately once a deal is signed and that verification by the International Atomic Energy Agency of Iran’s obligations under the deal would not be allowed. His statements are at odds with a framework agreement reached on April 2 in which Iran agreed it would sharply constrain the enrichment of uranium for at least 10 years, block the production of plutonium and curb nuclear research and development. Iran also agreed to undertake key tasks — like moving excess centrifuges to storage — before sanctions are lifted, and submit to broad verification by the international agency. Western officials also say Iran has agreed to a process of “managed access” that would allow inspectors to visit suspicious locations, including military sites. If Ayatollah Khamenei’s intention is to maneuver for advantage, his public demands in reopening settled commitments will undercut rather than strengthen the hands of his negotiators. Of course, it’s also possible that he now has no intention of accepting any nuclear agreement with the West. That would be a missed opportunity for Iran and the world and could have dangerous consequences. As the negotiations approach the deadline, some in the United States are also intensifying their criticism against the deal. One goal of the agreement is to ensure that the time it will take Iran to produce enough fissile material for a nuclear bomb is increased from three months now to at least 12 months. Some critics argue the deal does not do that, in part because Iran will retain a small enrichment program and thousands of centrifuges, though many leading technical experts say it does. Other critics accuse the Obama administration of dropping a demand that Iran disclose full details of its past efforts to pursue a nuclear weapon. But the April framework specifies that Iran address those concerns, and Secretary of State John Kerry on June 16 that Iran would have to answer outstanding questions about the weapons program before receiving significant sanctions relief under any deal. Compromises are part of any negotiation. Any agreement can really be judged only when the text is signed and details are made public. The April framework accord was a solid basis on which to build a credible final deal. Ayatollah Khamenei must decide whether he and his government can live with the economic and political consequences if he sabotages this deal. Follow The New York Times Opinion section on and , and sign up for the . Advertisement
Disarmament Groups Welcome Iran Framework; Israel Is Mistrustful	Advertisement Supported by By  and Advocates of disarmament and reconciliation with embraced the announced Thursday that would limit Iran’s nuclear capabilities, calling it a welcome alternative to war, while the Israeli government and its supporters voiced deep criticism and said the opposite outcome was more likely. Prime Minister Benjamin Netanyahu of Israel said he had told President Obama in a telephone call that “a deal based on this framework would threaten the survival of Israel.” In Tehran, , which could portend the end to burdensome sanctions on the country, brought no immediate official reaction from Iran’s supreme leader, Ayatollah Ali Khamenei, who will have the final word on a completed agreement. But state-run television, in what appeared to be a precedent as well as a sign of top-level approval, broadcast live Mr. Obama’s announcement from the White House about the agreement’s details. The Arms Control Association, a nonpartisan group in Washington, called the framework agreement a “historic breakthrough” that, if fully carried out, would block potential Iranian pathways to a bomb. The group said the agreement “promises to lead to one of the most consequential and far-reaching nuclear nonproliferation achievements in recent decades.” The National Iranian American Council, an advocacy group in Washington, said that if the framework agreement led to a final deal by June 30, as negotiators hope and expect, it would achieve “through diplomacy what neither war nor sanctions could ever have accomplished.” The agreement was reached in Lausanne, Switzerland, between Iran and the group of powers known as the P5-plus-1 — Britain, China, France, Germany, Russia and the United States — and it contained what disarmament experts said were surprisingly specific provisions. Iran agreed to reduce by roughly two-thirds the number of installed centrifuges it has for enriching uranium fuel, and to take other steps to limit its uranium enrichment. It agreed to dismantle and rebuild a reactor so that it would not produce plutonium fuel, and to allow extensive inspections to assure the world of its peaceful intent. In exchange, the P5-plus-1 powers would lift the array of sanctions that have been imposed on Iran for years. In , which considers Iran its most dangerous enemy, the official reaction to the framework agreement was, not unexpectedly, harsh and mistrustful. Mr. Netanyahu, an outspoken critic of the nuclear negotiations, reiterated in a statement issued by his office what he had told Congress in Washington last month. “Such a deal would not block Iran’s path to the bomb,” he said. “It would pave it.” He and other Israeli officials sought to cast Iran as an expansionary and deceitful power that is bent on destroying Israel and meddling in Israel’s neighbors. “The smiles in Lausanne are detached from the wretched reality where Iran refuses to make concessions on the nuclear issues and continues to threaten Israel and the rest of the countries of the Middle East,” said Yuval Steinitz, the intelligence minister. The World Jewish Congress, an umbrella group of communities in 100 countries, was less critical, but still highly skeptical. Its president, Ronald S. Lauder, said in a statement that “the key question was if Iran could be trusted to implement the deal.” The Al Manar broadcasting channel of Hezbollah, the Shiite militant organization in Lebanon that is an important Iranian ally, carried Mr. Obama’s speech and showed a logo of Ayatollah Khamenei and the slogan: “Victory for Steadfastness.” Whether Iran is racing toward nuclear weapon capabilities is one of the most contentious foreign-policy issues challenging the West. The framework agreement is bound to be seen as a boon by Hezbollah, which relies on Iran for financing and weapons, and has lately claimed to see common interests with the United States in fighting Al Qaeda and the Islamic State. Hezbollah’s Saudi-backed Sunni political rival in Lebanon, the Future Movement, has been wary of an Iran deal. Syria’s state news agency did not immediately react. But the deal would most likely help President Bashar al-Assad of Syria by lifting sanctions on Iran, which has subsidized Syria’s government in a civil war now four years old. Mr. Assad’s opponents by and large argue that the United States has sacrificed them and their movement in order to prioritize the Iran deal. Britain and France, members of the group of big powers that negotiated the deal, praised the outcome but cautioned that a final agreement must still be finished and signed. President François Hollande of France warned in a statement that “sanctions that are lifted can be reimposed if the deal is not applied,” adding that Paris would watch closely to ensure that “a credible, verifiable agreement be established under which the international community can be sure Iran will not be in a position to have access to nuclear arms.” The British foreign secretary, Philip Hammond, said the “extremely tough” talks had provided a good basis to reach what could be a comprehensive deal. “This is well beyond what many of us thought possible even 18 months ago and a good basis for what I believe could be a very good deal,” Mr. Hammond said in a statement. “But there is still more work to do.” Mr. Hammond said a fuller deal that kept to the parameters of the initial agreement would provide reassurance that Tehran’s nuclear program was peaceful, but added that intensive talks on the details now lay ahead, especially about oversight measures and mechanisms regarding United Nations Security Council resolutions. Rick Gladstone reported from New York and Isabel Kershner from Jerusalem. Reporting was contributed by Thomas Erdbrink from Tehran, Steven Erlanger from London, Irit Pazner Garshowitz from Jerusalem, and Anne Barnard from Beirut, Lebanon. Advertisement
Israel’s Unworkable Demands on Iran	Advertisement Supported by Editorial By  Prime Minister Benjamin Netanyahu of Israel has gone into overdrive against a nuclear agreement with Iran. On Monday, his government that it claimed would ensure a better deal than the preliminary one that Iran, President Obama and other leaders of major powers announced . The new demands are unrealistic and, if pursued, would not mean a better deal but no deal at all. Mr. Netanyahu is acting as if he alone can dictate the terms of an agreement that took 18 months and involved not just Iran and the United States but Britain, France, Germany, Russia and China. He wants to appear reasonable. “I’m not trying to kill any deal; I’m trying to kill a bad deal,” he said on NBC News’s “Meet the Press” on Sunday. But he offers no workable options. There are important details to be worked out before a final agreement is expected to be concluded by June 30. Even so, the framework is surprisingly comprehensive and offers the best potential for preventing Iran from obtaining a nuclear weapon. As outlined on Monday by Yuval Steinitz, Israel’s minister of intelligence and strategic affairs, the Israelis are now insisting that Iran end all research and development on advanced centrifuges, which are used to enrich uranium; reduce the number of operating centrifuges at its Natanz plant beyond what was agreed to in the framework; and close its underground enrichment facility at Fordo. Also, Israel has demanded that Iran allow inspections “anywhere, anytime” by international monitors, ship its stockpile of enriched uranium out of the country and disclose past nuclear-related activities that might involve military uses. In any negotiation, there could never be a deal without compromise. It would be preferable if every vestige of Iran’s nuclear program were eradicated. But that was never going to happen, not least because Iran’s know-how could never be erased. Iran’s leaders would not accept a deal in which they did not maintain some elements of a nuclear program tailored for energy and medical purposes — not weapons. Ultimately, Mr. Obama had to make many judgment calls in getting a deal that would prevent Iran from developing a nuclear weapon. The alternative is no deal, and Iran simply moves forward on its nuclear program without any limits. Shuttering Fordo was an early goal, but, in the end, the agreement would allow Iran to keep a small number of centrifuges spinning and to produce medical isotopes at the plant. For the Iranians, it was a matter of political symbolism and jobs to keep the plant open; Mr. Obama apparently felt there were enough protections that he could agree. Ideally, more of the 10,000 centrifuges operating at the Natanz enrichment plant would be stopped, as Israel has demanded, but the agreement would halt 5,000 — a significant reduction. The deal permits Iran to retain only a small amount of enriched uranium and provides for disposing of the rest (including shipping it out of the country). All the options would ensure that Iran can’t enrich the material for nuclear weapons. While the deal does not grant international monitors the right to go anywhere, anytime, it does impose a tough inspection regime and establishes a commission to resolve disputes if Iran blocks access to a suspected site. It allows research on advanced centrifuges, but the machines can’t be used for enrichment for 10 years. There is confusion about how the deal addresses Iran’s willingness to come clean on its past military activities, but experts have said that a final agreement would require Iran to answer all questions before sanctions are lifted. The Israelis have also said there should be no agreement or lifting of sanctions until Iran recognizes Israel. Iran’s hostility and threats toward Israel and its involvement in terrorist activities are heinous and unacceptable. But those issues should be dealt with separately; resolving them should not be made conditions of the nuclear agreement. Getting to a final deal won’t be easy. Mr. Obama must continue to be tough and determined in the coming months of negotiations. Israel’s demands, however, must not become an excuse to scuttle what seems to be a very serious and potentially groundbreaking deal. Follow The New York Times Opinion section on and , and sign up for the . Advertisement
Netanyahu Says Final Nuclear Deal Must Include Iran’s Recognition of Israel	Advertisement Supported by By  JERUSALEM — Prime Minister Benjamin Netanyahu of Israel introduced a new demand Friday for the final phase of negotiations over Iran’s nuclear program, saying the completed deal must include an “unambiguous Iranian recognition of Israel’s right to exist.” Mr. Netanyahu, the world’s most vocal critic of the emerging agreement between six world powers and Iran, convened a special session of his security cabinet on Friday, hours before the onset of the Passover holiday, to review the framework agreement announced the night before. He emerged the group “is united in strongly opposing the proposed deal,” contending it “would pose a grave danger to the region and to the world, and would threaten the very survival of the state of Israel.” As the negotiations continued furiously in Lausanne, Switzerland, over the past week, Mr. Netanyahu made daily statements railing against them. He emphasized Iran’s involvement in regional conflicts, most recently Yemen, and denounced an Iranian general’s declaration in recent days that “the destruction of Israel is nonnegotiable.” “Well, I want to make clear to all: the survival of Israel is nonnegotiable,” the prime minister declared on Friday. “Israel will not accept an agreement which allows a country that vows to annihilate us to develop nuclear weapons, period.” Israel is not a party to the talks, which aim to reach a final accord by June 30, and at times he has complained of being left out of the loop. But President Obama, in a telephone call to Mr. Netanyahu shortly after the framework was announced, promised to renew security consultations and deepen coordination. A guide to help you navigate the deal between global powers and Tehran. One question going forward is how fiercely Mr. Netanyahu will fight the deal in Congress, where he spoke against it last month at the invitation of the House speaker, John A. Boehner, a Republican, infuriating the White House and some Democratic members. He gave no hint of his next steps in the Friday statement, beyond the demand for recognition. While Mr. Netanyahu had not previously mentioned recognition in regard to Iran, he has made a similar call in recent negotiations with the Palestinians. Asked on Friday about Mr. Netanyahu’s new demand, a State Department spokeswoman, Marie Harf, told reporters in Washington that the negotiations with Iran on the agreement were “only about the nuclear issue.” In the Palestinian arena, Mr. Netanyahu has demanded not only the recognition of Israel’s right to exist – something the leadership has already done — but recognition that Israel is the nation-state of the Jewish people. Without that recognition, the prime minister argues, any peace deal would not necessarily portend the end of the long-running conflict. Mr. Netanyahu’s statement on the Iran deal was his lengthiest and most detailed of the past week. It criticized the framework agreement, saying it leaves “Iran with a vast nuclear infrastructure,” since it does not call for shutting facilities, destroying centrifuges or halting research and development. The prime minister also criticized the promise to “lift sanctions immediately,” saying it “would greatly bolster Iran’s economy” and “give Iran thereby tremendous means to propel its aggression and terrorism throughout the Middle East.” “Such a deal does not block Iran’s path to the bomb,” he said, reprising language he used in his speech to Congress. “Such a deal paves Iran’s path to the bomb.” The alternative, he said, is not war, but “standing firm, increasing the pressure on Iran until a good deal is achieved.” Rick Gladstone contributed reporting from New York. Advertisement
None	Federica Mogherini, left, the European Unionâs foreign policy chief, and Foreign Minister Mohammad Javad Zarif of Iran announced the details of the agreement. Questions about issues in the news for students 13 and older. Ever since the Iranian Revolution and the Iran hostage crisis, the United States and Iran have not had formal diplomatic relations. George W. Bush famously called Iran a part of the “axis of evil” in his . But on Thursday, the United States announced that it had reached a framework agreement with Iran to prevent it from developing nuclear weapons. When should countries negotiate with their traditional enemies? Do you think negotiating with Iran is good foreign policy? In Michael R. Gordon and David E. Sanger write: LAUSANNE, Switzerland â Iran and the world powers said here Thursday that they had reached a surprisingly specific and comprehensive general understanding about the next steps in limiting Tehranâs nuclear program, though Western officials said many details needed to be resolved before a final agreement in June. Both Germanyâs foreign office and President Hassan Rouhani of Iran said that the major parameters of a framework for a final accord had been reached, after eight days of intense debate between Secretary of State John Kerry and his Iranian counterpart, Mohammad Javad Zarif. There was no mistaking the upbeat mood surrounding the announcement. âWe have stopped a cycle that is not in the interest of anybody,â an exuberant Mr. Zarif said at a news conference after the announcement. Speaking from the White House, President Obama made a strong case for the deal, saying that it âcuts off every pathwayâ for Iran to develop a nuclear weapon and that it establishes the most intrusive inspections system in history. âIf Iran cheats,â he said, âthe world will know it.â Even two of the most skeptical experts on the negotiations â Gary Samore and Olli Heinonen of the Kennedy School of Government at Harvard and members of a group call United Against Nuclear Iran â said they were impressed with the depth of detail. Mr. Samore, who was Mr. Obamaâs top adviser on weapons of mass destruction in his first term as president, said in an email that there is âmuch detail to be negotiated but I think itâs enough to be called a political framework.â Just a day ago, that appeared in doubt. Read the entire article, then tell us … â When should countries negotiate with their traditional enemies? How can a country know when negotiating will most likely lead to more conflict down the line, and when diplomacy can actually promote peace? â Do you think negotiating with Iran is good foreign policy? Or should the United States keep trying to weaken Iran through economic sanctions to yield more concessions in the future? Why? â Republican senators, critical of President Obama’s negotiation strategy, recently to Iran’s leaders warning them that an agreement with the Obama administration might not last and could be revoked “with the stroke of a pen.” Do you think Republicans are correct in attempting to undercut a possible deal with Iran? â President Obama recently with Cuba, another traditional United States enemy. Do you support the Obama administration’s negotiation policy with Cuba? Why? are invited to comment below. Please use only your For reasons, we will not publish student comments that include a last name. Comments are no longer being accepted. Countries should negotiate with  their traditional enemies when their traditional enemies declare war without any accusations or specific reasons or when they  break a specific law. Yes, I Do. I Support HIs Administration negotiation because everyone deserves a second chance. I don’t think countries should ever negotiate with enemies, especially since it is one of the big five. Iran, Russia, China, Venezuela, and North Korea. They all work together. Russia and Iran have the crude oil. Venezuela has the oil refineries. China has two aircraft carriers. We have less than eleven. North Korea has it’s arms and hacking. What do they all have in common? They all hate America. We don’t negotiate with terrorists. We need to weaken our enemies. Bring them crashing down. Have them begging us for mercy. That’s a big reason why Ronald Reagan was the best president. Carter was going to submit to the soviets. Reagan made the soviets submit to America. The Second World War. Days before the start of war. Germany and the U.S.S.R. made a pact. Made a pact to not attack each other. Surprise! Germany invaded the U.S.S.R. Doesn’t history repeat itself? Cuba? You mean the ones who agreed to set up nuclear missile silos against the U.S. The one who reluctantly took them down? Who disagreed with Gorbachev when we weren’t going to have WWIII? What could possibly go wrong? Hmmm. Let’s think about that for a second. Treaties. Never. Last. I think the traditional enemies must negotiate their countries.The countries can know the time with tradicionsles enemy and also with the line. They must also have peace. I think if you can do business. I think that if Iran can do business. I think not that that if Iran can do business …. poruqe he is good man who can do things for himself. Iran if you can negotiate aterior. I think that if Republicans are not correct but should put according to Iran. I think not deverian should support Obama and support to Cuba. Because Obama is doing than those roles Fayan to their countries and Cuba does not. I think that Cuba can not support Obama for not think they lleban by the way they are. It’s okay if they support Obama Cuba will not peliar that supported Obama .. My thinking is to support Cuba’s is the best there is more than Obama. We have had two disasters of wars in the Middle East and Afghanistan killing thousands of Americans and uncounted numbers of Iraqis and Afghans. Now people are pushing to attack Iran. President Obama is doing the right thing.  Negotiation is the best plan Always. As soon as possible. As calm as possible. Would you ever believe that all these  US flags on the streets of Havana ( clothes,hats,cars, toys, etc. )would ever ever  be seen???? It s the photo of the year and the success of the decade. All  the world,not just the America s is happy about it. Ivanka I think that enemies could work together and it would be a very big risk but if the  enemies did not decide to use us then we could all be able to share supplies and help each other stay safe. Sign up for our free . Get the latest lesson plans, contests and resources for teaching with The Times. Advertisement
Iran Assails U.S. Plan for a Vote in Congress	Advertisement Supported by By  and TEHRAN — ’s president on Wednesday dismissed the compromise worked out between the Obama administration and Congress over an impending nuclear agreement as internal American politics, saying the Iranians were negotiating with six countries, not just with the United States. The president, Hassan Rouhani, also repeated Iran’s position that onerous economic sanctions that have been imposed on the country for years by the United Nations, the United States and the European Union must be lifted with the signing of any final agreement. The remarks by Mr. Rouhani, a prime architect of a reached April 2 with the so-called P5-plus-1 group of powers — Britain, China, France, Germany, Russia and the United States — amounted to the first official Iranian reaction to a reached on Tuesday between the White House and the Senate over the nuclear negotiations. American and Iranian officials are using different words to describe elements of the preliminary agreement to limit Iran’s nuclear program. In what was seen by some as a setback for the White House, the compromise, in the form of a Senate bill, would give lawmakers a greater say in the terms of a final deal, which negotiators of Iran and the P5-plus-1 group are working to complete by June 30. Republicans and some Democrats in Congress, highly suspicious of Iran’s motivations, have expressed worry that provisions of the framework agreement are too lenient toward Iran and would leave it with the capacity to divert enrichment to make bombs, despite Iran’s guarantees that its purposes are peaceful. ’s government, which considers Iran its most dangerous enemy, has expressed the same doubts. “I declare here that whatever the says and what the House of Representatives and radicals in America are after, what the mercenaries in the region say, is not related to our nation and the government,” Mr. Rouhani said during a speech in northern Iran reported by state news media. “We request cooperation for cooperation, good will for good will, respect for respect,” Mr. Rouhani said. “We declare to you that we are not negotiating with the U.S. Senate or the House of Representatives. The party we are negotiating with is called the P5-plus-1 group.” Mr. Rouhani drew loud applause by emphasizing Iran’s position that any nuclear agreement was predicated on a termination of all the sanctions, which have severely impaired the country’s economy. As Iran and world powers including the United States try to reach a deal on nuclear controls in exchange for the lifting of sanctions, Iranians from all walks of life are watching and hoping for a new start. “Let the world, the P5-plus-1, the U.S. House of Representatives and the Senate, the U.S. president and the U.S. government, let everybody know that if there is not going to be an end to sanctions in this round of the talks, there is not going to be a deal,” he said. “At the end of these talks and upon the time of signing the deal there should be an announcement on the end and lifting of the oppressive sanctions against the Iranian nation.” In Israel, officials welcomed the compromise reached in Washington, with Yuval Steinitz, the minister of intelligence and strategic affairs, describing the congressional move as “an achievement for Israeli policy.” He credited the by Prime Minister Benjamin Netanyahu as “decisive” in developing the bill, which Mr. Steinitz called “a very important element in preventing a bad deal.” “This is more pressure and another barrier in the face of a bad agreement,” Mr. Steinitz, who lobbied in London and Paris before the framework was announced, said on Israel Radio on Wednesday. “Therefore the administration and the negotiating team will make more of an effort to seal gaps and to achieve an agreement that looks better, or is at least more reasonable, so that it will pass in Congress.” Thomas Erdbrink reported from Tehran, and Rick Gladstone from New York. Jodi Rudoren contributed reporting from Jerusalem. Advertisement
None	With less than a week to go before the June 30 deadline for a nuclear deal between Iran and the major powers, there is an intensifying debate in Washington about the strengths and weaknesses of any agreement that might emerge. There are also growing questions about whether â after 19 months of negotiation â an agreement is even possible, given what appears to be a growing intransigence on the Iranian side. If the major powers and Iran clinchÂ an accord on Iranâs nuclear program, it will be a major contribution to regional security. Thatâs because an agreement wonât happen â and shouldnât happen â unless it significantly constrains Iranâs ability to produce a nuclear weapon for a decade or more and subjects Iran to intrusive international inspections. The tradeoff for Iran is a lifting of international economic sanctions that have substantially crippled its economy and the potential of greater engagement with the international community. It is a complicated negotiation â involving the United States, Britain, France, China, Russia and Germany as well as Iran â and there are many interlocking parts affecting all aspects of Iranâs program. Here is a selection of documents, reports and analyses that can help shed light on this important topic: Advertisement
Obama Denounces Attempts to Derail Nuclear Deal With Iran	Advertisement Supported by By  PANAMA — President Obama fiercely defended the framework nuclear agreement with Iran on Saturday and criticized those Republicans he said were politicizing foreign policy and working to derail the deal. “I don’t understand why it is that everybody’s working so hard to anticipate failure,” Mr. Obama said of the negotiations to hammer out a final nuclear accord, during a news conference at the end of a summit meeting of Latin American nations here. “My simple point is let’s wait and see what the deal is.” He said he remained “absolutely positive” that if a final agreement codified the commitments agreed upon earlier this month, it would be the best way of preventing Iran from obtaining a nuclear weapon. And he said that he was worried that Republican critics of the deal were trying to “screw up” its completion. American and Iranian officials are using different words to describe elements of the preliminary agreement to limit Iran’s nuclear program. Mr. Obama singled out Senator John McCain, Republican of Arizona, who he said had suggested that Secretary of State John Kerry was “somehow less trustworthy” than Iran’s supreme leader in describing the deal, calling it “an indication of the degree to which partisanship has crossed all boundaries.” “That’s not how we’re supposed to run foreign policy,” Mr. Obama said. “That’s a problem. It needs to stop.” As he departed the summit meeting where a historic meeting with President Raúl Castro of Cuba provided concrete evidence of one of his most significant foreign policy achievements, Mr. Obama faced mounting questions about another goal — . The framework was forged in Switzerland this month, and American negotiators and allies are working with Iran to finalize an agreement by June 30. “We’ve got work until the end of June to make sure that we’ve got a document that works,” Mr. Obama said. “If, in fact, we’re not satisfied that it cuts off the pathways for Iran obtaining a nuclear weapon, then we won’t sign it.” A guide to help you navigate the deal between global powers and Tehran. Mr. Obama is facing a double bind over the next two months with the deal pending. Iran’s supreme leader, Ayatollah Ali Khamenei, has suggested that his country will not comply with crucial conditions, including unfettered access to nuclear sites. He has insisted that sanctions be lifted immediately after a deal is signed, something the United States has said would not happen. Closer to home, the Republican-led Congress is demanding review power over any agreement, and will begin considering bipartisan legislation next week that would allow them to review the deal, vote to disapprove it and limit Mr. Obama’s ability to waive sanctions. Some Republican critics of the accord, including Mr. McCain, have seized upon the assertions of Iran’s leaders to argue that Mr. Obama is on the brink of ceding too much in the talks. “It’s not surprising to me that the supreme leader or a whole bunch of other people are going to try to characterize the deal in a way that protects their political position, but I know what was discussed in arriving at the political agreement,” Mr. Obama said. As for Congress, he said he had talked to Senator Bob Corker, Republican of Tennessee, the chairman of the Foreign Relations Committee and a sponsor of the review bill, and Senator Benjamin L. Cardin of Maryland, the panel’s senior Democrat, about how to give Congress a voice in the debate. “I want to work with them so that Congress can look at this deal when it’s done,” Mr. Obama said. “What I’m concerned about is making sure that we don’t prejudge it,” he added, or allow opponents of the deal to “try to use a procedural argument essentially to screw up the possibility of a deal.” Advertisement
None	Is the White House trolling Prime Minister Benjamin Netanyahu of Israel to sell the nuclear framework deal with Iran? It certainly appeared that way on Wednesday, when the official White House Twitter account posted a graphic depicting a cartoon bomb with its fuse being snipped to illustrate how the accord would âshut down Iranâs pathway to a nuclear weapon.â The picture (hashtagged, naturally, #Iran Deal) was reminiscent of a diagram Mr. Netanyahu presented to the United Nations in September 2012 that showed a bomb with a fuse sticking out of the top and a blast at the end. He wielded a red marker to draw a line showing his determination to halt Iranâs program before it developed a nuclear weapon. Worth sharing: Here's how the would shut down Iran's pathway to a nuclear weapon â  — The White House (@WhiteHouse) The White House version has a red line at just the same point, to describe what it says would happen without a diplomatic accord with Iran, ticking off a list of activities â including uranium enrichment and stockpiles and the development of more centrifuges â that could allow Iran to quickly develop a nuclear weapon. But it also has a blue line at the bottom, linked to a list of ways administration officials say the deal would thwart those moves, such as eliminating Iranâs stores of highly enriched uranium, limiting and vastly reducing its low-enriched uranium stockpile, and cutting its centrifuges by two-thirds. The Twitter post is apparently just one part of an elaborate sales pitch President Obama is making to build support in Congress and around the world for the proposed nuclear deal, to which Mr. Netanyahu has expressed fierce opposition. And maybe, after a season of public hostility between Mr. Obama and Mr. Netanyahu over the Iran deal, among other matters, a little bit of a dig at the worldâs most prominent critic of the agreement. First Draft provides fast-paced and comprehensive coverage of politics and elections by The New York Times. Come back throughout the day for the latest news and analysis, and be part of the political conversation.  Like it? Hate it? Have a tip for us? Send any and all feedback to . We send out a newsletter around 7 a.m. eastern time each weekday that serves as a look-ahead to the day's political events and expected stories.
None	Hillary Rodham Clinton called the framework for an Iran nuclear deal that was reached on Thursday an âimportant step,” adding that while âthe devil is always in the detailsâ in such negotiations, âdiplomacy deserves a chance to succeed.â The comments, in a statement issued Thursday evening by a spokesman, are Mrs. Clintonâs first on the negotiations since they became a flash point in Israeli elections last month. âThe understanding that the major world powers have reached with Iran is an important step toward a comprehensive agreement that would prevent Iran from getting a nuclear weapon and strengthen the security of the United States, Israel and the region,â Mrs. Clinton said. âPresident Obama and Secretary Kerry have been persistent and determined in pursuit of this goal, building on a decade of bipartisan pressure and diplomacy,â she added, referring to Secretary of State John Kerry. âGetting the rest of the way to a final deal by June wonât be easy, but it is absolutely crucial. I know well that the devil is always in the details in this kind of negotiation.” Mrs. Clinton, who is all but certain to seek the presidency in 2016, said she supported the Obama administration in trying, between now and June, to achieve a deal that âverifiably cuts off all of Iranâs paths to a nuclear weapon, imposes an intrusive inspection program with no sites off limits, extends breakout time, and spells out clear and overwhelming consequences for violations.â âThe onus is on Iran and the bar must be set high,â she said. âIt can never be permitted to acquire a nuclear weapon. It is also vital that these efforts be part of a comprehensive strategy to check Iran’s regional ambitions, defend our allies and partners and reinforce American leadership in the Middle East.â Prime Minister Benjamin Netanyahu of Israel has repeatedly criticized the negotiations to curtail Iran’s nuclear program as ineffective, and on Wednesday he said that a deal would âthreaten the survivalâ of Israel. Mrs. Clinton, who was secretary of state under Mr. Obama when the seeds of the Iran negotiations began, has been measured in discussing them publicly over the last 18 months, supporting the administration but also sounding a note of caution about whether Iran would honor a deal. By MICHAEL R. GORDON and DAVID E. SANGER An understanding was reached about limiting Iranâs nuclear program, but key issues remain before a final agreement in June. Like the Politics Newsletter? Get it delivered to your inbox. First Draft provides fast-paced and comprehensive coverage of politics and elections by The New York Times. Come back throughout the day for the latest news and analysis, and be part of the political conversation.  Like it? Hate it? Have a tip for us? Send any and all feedback to . We send out a newsletter around 7 a.m. eastern time each weekday that serves as a look-ahead to the day's political events and expected stories.
